Geneid	SRR26327154
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	0
6698	0
6707	0
6699	0
6703	0
6700	0
6701	0
6704	0
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	0
4014	0
114771	0
57115	0
6280	5783
6283	550
6279	2330
338324	0
645922	0
6278	0
6277	1157
6276	7
6275	538
101928034	0
6274	0
6273	2
140576	0
57402	2
6284	11
6271	0
26097	916
23557	58
3608	1491
100189015	11
4881	0
102466879	0
65123	0
11000	0
343052	0
105371448	0
57459	189
9909	1496
200186	4284
27173	389
102465441	1
148327	63
10899	1043
5872	12
6232	826
91181	92
100847024	0
7170	2921
100126346	0
388701	5
25912	1229
9898	2683
10456	330
89872	3
57198	826
3570	779
126669	3
126668	3
55585	1007
100874097	17
1141	137
103	11685
3782	5
10654	59
57326	5320
90780	836
101928120	14
6464	1537
1163	6
100423020	7
80308	322
55891	8
51043	926
127579	62
149095	35
100505666	3
8751	156
1945	18
1944	1
1942	122
55974	231
54344	60
200185	176
80128	42
4582	31
693235	1
7059	208
4580	74
2630	2
2629	5
10712	0
10067	0
1196	0
57657	0
5313	0
2224	254
284618	0
23623	106
55870	4055
693140	0
645682	33
645676	87
55154	105
55249	2676
7818	908
100129405	130
54856	1381
23208	612
6016	2314
22889	440
677823	3
677771	4
339403	138
9181	4294
102465442	0
105371729	7
6746	2430
56893	226
28956	60
57111	20
92312	0
4000	2637
64218	850
9673	1090
11243	195
100527963	1
632	2
79957	107
23381	1690
84283	44
112770	57
391104	1
7203	519
128229	0
57127	0
10485	20
407046	0
4209	4117
128239	4
164118	93
128240	107
54865	117
101928177	0
60484	9
63827	1
10763	0
1382	47
81875	627
51093	131
79590	39
3068	1814
5546	1038
9047	604
4914	18
3645	10
375033	20
149499	2
9826	250
768220	0
440695	0
2117	1711
360155	3
83416	51
83417	0
115352	153
79368	47
115350	157
922	0
55243	1
646268	0
912	247
909	2
911	9
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	3
81448	0
391114	0
128371	0
128372	3
81442	0
4332	297
149628	247
3428	1080
9447	41
100189166	0
57863	0
100131825	0
2532	0
2205	10
441911	0
26476	0
127385	0
325	0
1401	0
54935	12
343413	8
56833	3
284677	6
391123	15
25790	412
100422852	1
8407	6527
57549	83
89886	0
100505633	0
93183	43
3766	3
3765	95
93185	221
477	0
480	0
844	55
729867	102
8682	816
50717	2547
5824	482
4807	19
1314	4109
474338	151
23385	763
57216	2
114836	122
8832	705
6504	692
962	2286
57823	1847
4063	1092
51744	281
55600	5
101928372	0
142683	0
50848	702
100131187	45
7391	2234
257106	3044
81607	9
126823	6
5202	146
4817	256
9191	650
51506	639
27005	505
5498	99
8703	415
9507	9
4720	456
2207	954
336	122
84134	539
100847090	9
9970	129
654790	10
4359	33
6391	117
257177	35
100189373	3
100189407	0
100189402	0
100188997	0
100189412	0
100189394	0
100189366	0
100189091	0
100189260	0
100189235	0
100189009	0
100189252	0
100189385	0
100189141	0
100189290	0
100189316	0
100189230	0
100189259	0
100189188	0
100189134	0
100189364	0
100189160	0
100189017	0
100189039	0
100189120	0
100189139	0
100189274	0
2212	468
100189380	0
3310	27
100189018	1
100189011	46
100189126	3
2214	60
9103	82
3311	118
100189003	4
2215	266
2213	21
641311	97
84824	11
127943	2
11266	93
102724329	4
22926	1032
25903	11
9722	0
100616386	0
693141	0
284680	1
400793	0
117157	24
127933	2370
6675	405
4921	73
51478	55
339512	0
5999	0
8490	2
101928404	1
83540	0
100422212	0
5087	8
100505795	0
4009	0
6258	0
400794	0
440699	0
4259	31
223	205
440700	23
54499	344
100147773	8
7371	43
100500832	0
149297	1
100126349	0
116123	0
57645	485
117143	201
387597	9
84944	2
10223	60
92235	0
101928484	0
5451	975
919	2101
8804	499
92241	1140
100189211	1
100189019	0
9019	88
55811	23
25874	374
55827	235
100313835	0
23432	11
261726	331
375035	724
84832	375
9095	17
693142	0
100505918	1
101928565	0
6846	4
6375	7
1805	0
79100	0
101978719	0
101928596	0
481	41
29922	22
8548	188
57821	12
10560	53
2153	133
6403	39
6402	685
6401	0
92342	39
55732	13
57147	185
22920	290
149281	0
100423010	0
100422839	0
284688	0
101928650	1
92344	493
5396	0
80133	0
2328	0
100302178	0
100847009	0
388714	0
2327	0
2326	0
2329	1
7151	0
23215	20049
4653	0
8674	360
51603	78
26052	33
100874284	0
100628315	0
406996	0
100422882	0
406977	0
102724541	0
92346	0
5279	284
51430	1340
356	19
8995	0
7292	28
100506023	30
101928673	31
9588	753
284525	1
730159	0
339416	0
27252	465
91687	209
55157	170
100506046	44
60674	1016
26769	3
26802	13
26774	21
26770	9
692198	3
26806	6
692197	3
692196	8
692195	4
619498	40
84614	245
462	0
149041	3597
102724601	6
9910	811
9293	4
101928696	18
27101	273
63931	102
63923	0
9674	870
7143	0
101928727	0
101928751	0
64326	735
677679	8
60676	0
460	0
574441	0
57795	0
102724661	0
101928778	0
89866	0
730102	5
100302401	0
9462	0
400797	0
84066	0
105373472	3
400798	8
100616328	0
55103	533
9068	38
9917	428
64222	918
27	602
6646	694
126859	13
7827	0
163589	0
148753	1
163590	1820
26092	2559
9857	4086
5768	954
200058	76
89884	8
100527964	32
84320	203
100423032	1
148756	0
9213	672
57710	8
10228	470
3140	917
51278	2988
101928973	1
100287948	0
777	13
127665	0
400799	0
2752	5432
127670	3
388719	0
353299	6
6041	48
6004	80
284648	11
85397	1
80896	38
1660	4624
81626	0
3915	8
3918	0
23057	0
284649	15
9887	2630
4688	3091
10092	362
23179	60
403314	17
23127	1
116461	132
102724846	0
81563	116
80267	621
116496	3257
101929069	0
6045	193
81627	53
54823	167
10625	3090
100288079	8
101929093	0
83872	5
10216	4
7175	2540
54953	271
10896	19
102724919	5
5132	0
5743	157
103752588	0
5321	16
104169671	5
101929766	0
339479	0
101929120	0
440704	0
64407	259
431704	0
5996	722
6003	7
100616345	514
5997	3146
102724954	8
51377	256
6738	904
51022	7
79577	707
100302163	2
8707	48
101929184	6
343450	5
100616363	0
3075	2
10878	0
3078	0
10877	0
3080	0
81494	0
2165	0
259266	18
360023	342
23418	2
163486	411
388722	0
56956	0
140609	359
127124	0
5788	8663
100131234	12
406955	1
406995	0
102800316	1
104266961	0
400800	0
2494	0
554279	7
23528	1263
9928	17
83479	302
101929224	4
23271	39
2848	7
55765	0
23046	4892
779	0
647219	1
252839	98
91156	0
5317	0
7139	0
3898	0
7135	0
23612	0
1465	59
376693	3
89796	118
100873949	4
100847050	0
100302158	0
55705	952
102466724	0
149345	3
25802	0
10440	317
6051	479
102465443	0
1999	74
9283	47
127829	1563
5778	2715
148713	8
59352	25
29089	10
4660	373
127833	48
10765	1867
100506696	2
641515	4
148709	16
5877	91
59349	248
51094	2662
51706	263
100506747	1
92703	935
8497	16
4656	1
134	0
4608	12
1116	308
1118	22
100506775	28
730227	38
7832	4605
2331	5
5549	2
26254	0
493	937
677843	3
84719	6
54900	824
9877	3616
100381270	1540
6635	119
284573	0
9580	37
55224	76
101929441	3
5972	0
3814	0
127845	0
22874	18
127841	9
84919	12206
5287	2583
100189122	31
100189425	0
